,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-10-07,2018-10-07,14.0,28.0,40.0,55.0,104.0
1,2018-10-07,2018-10-14,27.0,54.0,80.0,124.0,335.0
2,2018-10-07,2018-10-21,27.0,54.0,80.0,124.0,335.0
0,2018-10-28,2018-10-28,8.0,14.0,18.0,23.0,36.0
1,2018-10-28,2018-11-04,2.0,6.0,9.0,12.0,20.0
2,2018-10-28,2018-11-11,2.0,6.0,9.0,12.0,20.0
0,2018-11-25,2018-11-25,27.0,38.0,44.0,51.0,65.0
1,2018-11-25,2018-12-02,19.0,32.0,40.0,48.0,65.0
2,2018-11-25,2018-12-09,19.0,32.0,40.0,48.0,65.0
0,2018-12-16,2018-12-16,20.0,28.0,34.0,40.0,53.0
1,2018-12-16,2018-12-23,7.0,14.0,21.0,31.0,45.0
2,2018-12-16,2018-12-30,7.0,14.0,21.0,31.0,45.0
0,2019-01-06,2019-01-06,14.0,21.0,25.0,30.0,40.0
1,2019-01-06,2019-01-13,9.0,15.0,19.0,24.0,35.0
2,2019-01-06,2019-01-20,9.0,15.0,19.0,24.0,35.0
